school_name,postal_code,sap_ind,autonomous_ind,ip_ind,latitude,longitude
TECK WHYE PRIMARY SCHOOL,688261,No,No,No,1.38364996834457,103.753291857016
TELOK KURAU PRIMARY SCHOOL,479239,No,No,No,1.33104585441349,103.910934011337
TEMASEK JUNIOR COLLEGE,529564,No,No,Yes,1.35728017255861,103.956185936394
TEMASEK PRIMARY SCHOOL,469300,No,No,No,1.31770677551333,103.945590669163
TEMASEK SECONDARY SCHOOL,465561,No,Yes,No,1.31591673150616,103.947564112022
TOWNSVILLE PRIMARY SCHOOL,569730,No,No,No,1.36003263746623,103.853826048327
UNITY PRIMARY SCHOOL,688268,No,No,No,1.40285481877246,103.746822625758
UNITY SECONDARY SCHOOL,689143,No,No,No,1.40001524119441,103.74602091483
VALOUR PRIMARY SCHOOL,828728,No,No,No,1.40683570215319,103.899078139493
VICTORIA JUNIOR COLLEGE,449035,No,No,Yes,1.30670174177479,103.919982704149
VICTORIA SCHOOL,448880,No,Yes,Yes,1.3087130270751,103.927980966639
WATERWAY PRIMARY SCHOOL,828802,No,No,No,1.39882800626578,103.918621581556
WELLINGTON PRIMARY SCHOOL,757702,No,No,No,1.45192019155475,103.822303719094
WEST GROVE PRIMARY SCHOOL,649223,No,No,No,1.3448790560014,103.699286360581
WEST SPRING PRIMARY SCHOOL,679946,No,No,No,1.38944145898943,103.766195711835
WEST SPRING SECONDARY SCHOOL,677737,No,No,No,1.38782283303782,103.760128840155
WEST VIEW PRIMARY SCHOOL,677742,No,No,No,1.3836758200336,103.760240434318
WESTWOOD PRIMARY SCHOOL,649188,No,No,No,1.34718456606375,103.70053420978
WESTWOOD SECONDARY SCHOOL,648350,No,No,No,1.35373698510994,103.701772102139
WHITE SANDS PRIMARY SCHOOL,519075,No,No,No,1.36563610941695,103.960861814678
WHITLEY SECONDARY SCHOOL,579747,No,No,No,1.35505208480649,103.842552378136
